track_genre,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
acoustic,43.246,214887.266,0.056,0.551,0.44,5.098,-9.443,0.813,0.043,0.56,0.039,0.155,0.427,118.977,3.894
afrobeat,24.59,248380.608,0.017,0.668,0.702,5.547,-7.808,0.506,0.086,0.267,0.26,0.183,0.698,118.712,3.948
alt-rock,38.803,236604.36,0.057,0.538,0.743,5.641,-6.349,0.625,0.055,0.134,0.056,0.216,0.517,124.332,3.943
alternative,35.871,211357.085,0.317,0.612,0.691,5.442,-6.101,0.54,0.094,0.183,0.019,0.207,0.488,119.572,3.929
ambient,44.929,236095.845,0.006,0.366,0.235,4.969,-18.765,0.615,0.042,0.776,0.683,0.128,0.166,110.568,3.648
anime,48.736,209012.732,0.058,0.538,0.668,5.319,-8.12,0.504,0.089,0.275,0.274,0.197,0.431,123.269,3.922
black-metal,22.409,310430.977,0.131,0.295,0.875,5.398,-6.528,0.59,0.087,0.027,0.444,0.241,0.191,128.786,3.828
bluegrass,25.743,222260.235,0.005,0.535,0.532,5.513,-9.913,0.853,0.039,0.558,0.136,0.229,0.638,126.58,3.909
blues,39.16,236325.922,0.018,0.566,0.597,5.292,-8.359,0.68,0.063,0.324,0.044,0.179,0.575,119.401,3.883
brazil,44.794,274916.076,0.091,0.564,0.611,5.467,-7.636,0.697,0.097,0.342,0.012,0.288,0.463,121.579,3.954
breakbeat,20.028,318175.719,0.045,0.648,0.851,5.632,-6.085,0.597,0.086,0.031,0.4,0.218,0.475,132.877,3.99
british,44.584,216964.041,0.036,0.497,0.489,4.933,-10.845,0.682,0.05,0.443,0.213,0.175,0.425,118.348,3.835
cantopop,34.814,228843.509,0.002,0.548,0.461,5.14,-9.662,0.77,0.039,0.535,0.013,0.191,0.394,124.182,3.919
chicago-house,12.047,367583.087,0.017,0.767,0.733,5.782,-9.163,0.505,0.075,0.034,0.487,0.137,0.59,124.132,3.989
children,34.503,137848.026,0.0,0.714,0.494,4.496,-9.533,0.857,0.103,0.504,0.063,0.182,0.687,122.615,3.893
chill,55.297,168263.298,0.185,0.664,0.429,5.39,-10.534,0.621,0.107,0.535,0.182,0.166,0.406,115.604,3.943
classical,14.619,242911.444,0.0,0.388,0.203,5.123,-19.835,0.753,0.053,0.916,0.586,0.172,0.394,108.556,3.698
club,33.202,206634.541,0.092,0.606,0.725,5.191,-6.914,0.667,0.097,0.158,0.356,0.202,0.372,123.887,3.946
comedy,24.574,224745.708,0.658,0.578,0.703,5.05,-10.423,0.717,0.761,0.726,0.0,0.664,0.455,100.885,3.602
country,25.193,206090.499,0.047,0.561,0.63,5.513,-7.066,0.89,0.044,0.286,0.004,0.179,0.53,124.325,3.911
dance,36.624,201669.806,0.197,0.682,0.701,5.093,-5.547,0.485,0.09,0.134,0.013,0.168,0.523,118.931,3.997
dancehall,36.134,199467.228,0.324,0.726,0.691,5.433,-6.111,0.5,0.197,0.219,0.008,0.163,0.636,114.147,4.089
death-metal,31.959,245001.709,0.259,0.369,0.932,5.27,-5.394,0.618,0.113,0.007,0.277,0.25,0.253,123.338,3.881
deep-house,45.92,223214.895,0.027,0.709,0.746,5.708,-6.944,0.484,0.062,0.103,0.253,0.169,0.439,121.083,3.98
detroit-techno,11.264,378407.857,0.008,0.724,0.708,5.856,-11.07,0.506,0.074,0.066,0.712,0.154,0.465,126.5,3.985
disco,33.833,243290.264,0.007,0.675,0.747,5.494,-7.269,0.617,0.064,0.165,0.061,0.195,0.69,124.182,3.959
disney,27.344,155675.758,0.001,0.459,0.298,4.466,-15.11,0.787,0.074,0.75,0.375,0.17,0.37,112.215,3.807
drum-and-bass,26.241,279726.373,0.028,0.534,0.876,5.273,-4.176,0.468,0.093,0.027,0.381,0.226,0.321,154.926,4.006
dub,40.062,231019.963,0.088,0.58,0.713,5.319,-6.07,0.582,0.102,0.12,0.093,0.195,0.389,128.243,3.975
dubstep,39.488,223469.673,0.117,0.533,0.778,5.405,-4.811,0.517,0.104,0.111,0.128,0.214,0.249,130.977,3.951
edm,48.954,192391.108,0.12,0.655,0.745,5.685,-5.521,0.555,0.076,0.13,0.053,0.198,0.459,122.665,3.966
electro,46.111,196424.963,0.217,0.663,0.607,5.288,-6.889,0.576,0.081,0.32,0.062,0.188,0.462,118.926,3.947
electronic,44.146,232121.318,0.129,0.659,0.694,5.36,-7.216,0.533,0.08,0.178,0.232,0.191,0.401,123.577,3.961
emo,49.282,188937.153,0.501,0.602,0.671,5.336,-6.767,0.63,0.117,0.184,0.028,0.188,0.444,127.039,3.96
folk,42.546,274743.912,0.004,0.57,0.559,5.126,-8.843,0.717,0.066,0.489,0.038,0.183,0.503,118.302,3.715
forro,41.99,190273.445,0.019,0.65,0.79,5.288,-5.102,0.667,0.057,0.4,0.001,0.297,0.76,140.183,3.989
french,40.044,204691.85,0.258,0.652,0.595,5.412,-8.725,0.479,0.143,0.359,0.12,0.176,0.455,117.91,3.926
funk,41.012,210740.532,0.414,0.727,0.624,5.528,-5.98,0.497,0.201,0.331,0.007,0.186,0.616,122.304,4.075
garage,40.775,197496.415,0.097,0.478,0.75,5.548,-6.533,0.661,0.066,0.167,0.195,0.209,0.528,127.476,3.954
german,35.69,212995.997,0.193,0.537,0.56,5.223,-10.537,0.562,0.117,0.318,0.262,0.206,0.375,119.298,3.894
gospel,39.713,302142.585,0.0,0.478,0.575,5.164,-7.187,0.82,0.042,0.379,0.004,0.299,0.333,124.96,3.919
goth,28.696,254339.938,0.067,0.483,0.729,5.185,-7.206,0.561,0.074,0.178,0.106,0.235,0.46,124.677,3.937
grindcore,14.542,133080.788,0.148,0.272,0.927,5.209,-6.16,0.629,0.138,0.008,0.537,0.283,0.215,119.549,3.802
groove,35.571,271878.672,0.135,0.546,0.729,5.374,-6.624,0.596,0.078,0.179,0.116,0.258,0.401,123.494,3.934
grunge,49.764,236639.923,0.074,0.447,0.809,5.044,-5.685,0.672,0.062,0.044,0.045,0.233,0.401,130.406,3.905
guitar,28.868,221991.416,0.001,0.547,0.344,5.101,-13.299,0.682,0.051,0.764,0.474,0.154,0.454,111.798,3.774
happy,21.599,241711.5,0.127,0.552,0.911,5.76,-5.378,0.569,0.12,0.058,0.26,0.286,0.332,152.834,3.973
hard-rock,46.098,247377.536,0.046,0.48,0.815,5.582,-6.446,0.628,0.073,0.078,0.044,0.229,0.516,127.904,3.977
