track_id,track_name,artist,genre,community_id,genius_title,genius_artist,language,lyrics
3VwRquI06Imdj7namX2R1O,Dick'taphone,Kevin Bloody Wilson,comedy,3,Dick’taphone,Kevin Bloody Wilson,en,"HELLO OPERATOR. I'D LIKE TO MAKE A CALL
CAN I HAVE 477 3104?
I'M SORRY SIR, COULD YOU REPEAT THAT NUMBER ONCE AGAIN?
477 3104, DID YA GET IT THEN?
COULD YOU SPEAK A LITTLE SLOWER? 477'S ALL I GOT
3104, ARE YOU BLOODY DEAF OR WHAT?
LOOK, I GOT THE FIRST BIT, BUT I JUST CAN'T GET THE LAST
WELL STICK THAT F*CKIN' PHONE UP YOUR F*CKIN' ARSE
CHORUS
STICK THAT F*CKIN' PHONE, UP YOUR F*CKIN' ARSE
YOU'RE SUPPOSED TO F*CKIN' HELP, NOT MAKE IT F*CKIN' HARD
I'M JUST TRYIN' TO MAKE A CALL, BUT YOU'RE JUST BEING SMART
SO YOU CAN STICK THAT F*CKIN' PHONE, UP YOUR F*CKIN' ARSE
GOOD MORNING I'M FROM TELECOM, COME TO DISCONNECT YOUR PHONE
FOR A BREACH OF REGULATIONS JUST A COUPLE OF DAYS AGO
YOU UPSET OUR OPERATOR WITH A PRETTY NASTY CALL
WHAT ARE YOU F*CKIN' ON ABOUT? IT WAS ALL HER F*CKIN' FAULT!
WELL SHE CLAIMS THAT IT WAS ALL YOUR FAULT, SHE REALLY WAS DISTRESSED
WHAT ABOUT YOUR CUSTOMERS, SHE UPSET ME FIRST!
WE'VE GOT HER WRITTEN STATEMENT, WHICH SHORTLY WILL BE READ
BUT IT MIGHT HELP IF YOU'D RECALL EXACTLY WHAT YOU SAID
I SAID
CHORUS
WELL THAT'S NOT EXACTLY ON SIR, IT'S JUST NOT ON AT ALL
YOU MUST USE COMMON ETIQUETTE IF YOU WISH TO MAKE A CALL
AND 'PLEASE' AND 'THANK YOU' ALSO HELP, YOU CAN'T TALK TO HER LIKE THAT
'PLEASE' AND F*CKIN' 'THANK YOU' WELL YOU F*CKIN' TELL HER THAT!
AND SHE KNOWS WITHOUT A TELEPHONE I'M REALLY IN THE SHIT
WELL PERHAPS IF YOU'D APOLOGISE THAT JUST MIGHT HELP A BIT
APOLOGISE? APOLOGISE? APOLOGISE TO WHO?
JUST GO IN AND ASK FOR OPERATOR 42
GOOD MORNING, ARE YOU WAITING? IS THERE SOMETHING I CAN DO?
YES, I'D LIKE TO SPEAK TO OPERATOR 42
I'M SORRY SIR, I MISSED THAT, COULD YOU REPEAT WHAT YOU JUST SAID?
AH SHIT! I DON'T BELIEVE IT! HERE WE F*CKIN' GO AGAIN!
OPERATOR 42, LOOK I'LL JUST WRITE IT DOWN
OH OPERATOR 42, I'LL SEE IF SHE'S AROUND
JEEZ, THEY'RE BLOODY USELESS, I'M SURE THAT THEY'RE ALL DEAF
NO WONDER THAT I DID ME QUINCE, NO WONDER THAT I SAID
CHORUS
NOW THEY'LL MAKE ME SIT AROUND AND WAIT ALL BLOODY DAY
JUST SO THEY CAN MAKE ME SWEAT AND HAVE THE FINAL SAY
THAT'S LIKE THE PUBLIC SERVICEM THEY MAKE YOU SCRAPE AND BBOW
ARRGGHH SHIT! SHE'S F*CKIN' UGLY, IF THAT'S HER COMING NOW!
I'M OPERATOR 42, I'M BUSY, MAKE IT FAST
DID A BLOKE TELL YOU TO STICKTHAT F*CKIN' PHONE RIGHT UP YOUR ARSE?
YES HE DID, THE FILTHY ANIMAL, I REMEMBER NOW
WELL YOU'D BETTER F*CKIN' BRACE YOURSELF 'CAUSE THEY'RE BRINGING IT AROUND!!
CHORUS X 2"
0Dfctnkk9xIikDKJ06uwzo,She's So Nice,Pink Guy,comedy,3,She’s So Nice,Pink Guy,en,"Ooh, I fucked your girl's titties!
Ooh, I fucked your girl's titties!
Ooh, I fucked your girl's titties!
Ooh, I fucked your girl's titties!
Ooh, I fucked your girl's titties!
Ooh, I fucked your girl's titties!
Ooh, I fucked your girl's titties!
Ooh, I fucked your girl's titties!

Oh, I'm sorry man, I didn't know!
JK, JK, I knew all along!
And she's sucking on my hose
I go twelve-inch deep in the pussy
After twenty minutes, you can drive a fucking Jeep in the pussy
Know what I'm talking 'bout? I smack her in the pussy
When I pee, it burns, let it burn like George Bushy
I regret to inform you I fucked your girl's pussy
Man I swear I didn't know
JK, JK, JK, JK I knew all along!
I just fucked your girl before this song
And I know it's kind of wrong
When she's sucking on my dong
And she's so fat like a land whale
Uh, shoot that poon with a harpoon
Yeah, I just wanna lick a whale in the fucking whale pussy
That's why I fucked your fat girlfriend, you fucking nerd!

But she's so nice
But she's so nice
But she's so nice
But she's so nice
But she's so nice
But she's so nice
She's so nice
She's so nice
She lets me use her body
But she's so nice
But she's so nice
But she's so nice
But she's so nice
But she's so nice
But she's so nice

Yeah, treat her like a bitch
I fuck her in the ass and I fuck her in the tits
If she can handle that, then I'll let her suck my dick
And her man is coming back, so I better make it quick
Yeah, you know who you are you piece of shit
Your girlfriend's always sucking on my dick like a Slim Jim stick
So next time you go down on her clit
Tell me how my dick tastes
Tell me how my motherfucking dick tastes!

But she's so nice
But she's so nice
But she's so nice
But she's so nice
But she's so nice
But she's so nice
I treat her badly
But she comes back, every time
It goes to show
That none of these hoes
Are worth a dime
But she's so nice
But she's so nice
But she's so nice
But she's so nice
But she's so nice
But she's so nice"
7jLbU0psQwmWeOm64xdtut,Hot Nickel Ball on a Pussy,Pink Guy,comedy,3,Hot Nickel Ball on a Pussy,Pink Guy,en,"Let me lick that pussy
Let me-let me lick that pussy
Let me-let me lick that pussy
Let me-let me lick that pussy
Let-let me lick that little, whittle, tiny pussy
I like the tiny pussy
Let me lick that tiny pussy
I just want a pussy
Gimme, let me lick that tiny pussy
I just wanna lick that tiny pussy
Please, let me lick that pussy
I just wanna lick that pussy
I just wanna lick that pussy
I just wanna lick that pussy
I just wanna-
Let me-let me lick that pussy
Let me lick that little pussy
Let me-let me lick that little pussy, yeah
Let me lick that little pussy
Let me lick that little pussy
Let me lick that little, little, little pussy, yeah
Let me lick that pussy
Let me lick that pussy
Let me lick that pussy
Let me lick that pussy
Let me-let me lick that pussy
Let me-let me lick that pussy
Let me-let me lick that pussy
Let me-let me lick that pussy
Let me-let me lick that pussy

Ooh, I wanna see a hot nickel ball on a pussy
I just wanna see a hot nickel ball on a pussy
I just wanna see a hot nickel ball on a pussy
I know I just see a hot nickel ball on a pussy
Every day, all day, hot nickel balls all over my pussy
All over little twats
Little coin, slot, axe-wounds
Little coin, slot, axe-wounds

Ooh-ooh
I just wanna lick that little, little cute little pussy
Cute little cunt, cute
Little twant, cute little cunt
Gimme that cute, little slit girl
Gimme that cute little twant, little cunt, little twant
With your cute little cunt, little twant
Gimme, let me that little pussy
I just wanna lick that little pussy
I just wanna lick that cunt
I just wanna lick that little twat
Hot nickel ball on a pussy
I just wanna see a hot nickel ball on a pussy
I just wanna see a cute little twat shaking 'round like a bat
Let me shake that little pussy
Let me shake that little twat
Gimme-Gimme little cunts
Let me-let me see your cummies man
I just wanna see a little slit, little axe-wound
I just wanna see a little cummy cunt
Cummy little cumming on the cummy on the cummy cunt
Cummy cunt (Cum)

Ooh, I wanna see a hot nickel ball on a pussy
I just wanna see a hot nickel ball on a pussy
I just wanna see a hot nickel ball on a pussy
I know I just see a hot nickel ball on a pussy every day
All day, hot nickel balls all over my pussy
All over little twats
Little coin, slot, axe-wounds
Little coin, slot, axe-wounds"
3O9nQmCkiA2VUAqQpkJZhD,Jack Sparrow,The Lonely Island,comedy,3,Jack Sparrow,The Lonely Island,en,"Guys, Michael Bolton is here
Oh, great, send him in
Hey guys
Hey, hi, thanks for coming
Sorry I'm late, I just got caught up watching the 
Pirates of the Caribbean
 marathon
Have you seen those things?
Oh, yeah, yeah, those are, those are great
Well, I checked out the track and I loved it. And I wrote you this big, sexy hook I think you're gonna really dig
Oh wow, that's great. You wanna just lay it down?
Boys, let's get to it

Here we go
Uh, Lonely Island, Michael Bolton
Yeah
The night starts now
Together on the track
The boys are back
The night starts now

The night starts now, baby, roll with us
Chickies snapping at the neck when we rolling up (Rolling up)
Club front doors, ain't no holding up (Yeah)
Black card at the bar like I gives a fuck (
Come on
)

Ladies shifty eyed when we walk into the set
Fuck the fellas looking jealous, play that back and get wet (Yeah, yeah)
Three pound at my waist, shank in my sock (Oh)
You either get cut, get stuffed, or get shot

This is the tale of Captain Jack Sparrow
A pirate so brave on the seven seas (
What?
)
A mystical quest to the isle of Tortuga
Raven locks sway on the ocean breeze

Yeah, that was kind of weird, but we're back in the club
Buying up the bar so the groupies show us love (
Keira Knightley
)
Motherfucking iceman, I'm the top gunner
Heater on blast, I'm the number one stunner (
Jack Sparrow
)

Watch your girl because I ain't your Mr. Nice Guy
More like the ""Meet you, take you home and fuck you twice"" guy (Yeah, yeah)
All dressed up with nowhere to run
I know I make you feel crazy when I— (
Now back to the good part
)

From the day he was born, he yearned for adventure (
No
)
Oh, Captain Jack (
Yeah
), giving them what-for
He's the pauper of the surf (Uh huh), the jester of Tortuga
But in Davy Jones' locker, what lies in store? (Yeah, we've seen the movie)

Put your hands in the air and say ""Hell yeah,"" come on
Captain Jack
 (What?), 
Johnny Depp
 (No)
From the front to the back, say ""We count stacks,"" come on
Davy Jones (Nope), giant squid (Wrong)

Michael Bolton, we're really gonna need you to focus up
Roger that, let me try with another film (Wait)

Life is a box of chocolates and my name is Forrest Gump (
Not better
)
Though I'm not the sharpest tool in the shed, I give Jenny all my love (
Come on
)
Okay, then I'm a legal aide, Erin Brockovich is my name (
Oh, God)
Then you can call me Scarface, snortin' mountains of cocaine
(
Close enough
)

You cockroaches wanna play rough?
Okay, I'm reloaded, ha-ha

This is the tale of Tony Montana (This is the tale)
Cubano flame with Miamian guns (Take it home)
Got a basehead wife (Yeah), her womb is polluted (
Woo
)
This whole town's a pussy just waiting to get fucked (To get fucked) (
Whoa
)

Okay, it turns out Michael Bolton is a major cinephile
You complete me
Yeah, yeah, okay"
1HDRZj5rg796Vhl6iZwHok,Dunked On,Froggy Fresh,comedy,3,Dunked On,Froggy Fresh,en,"Out on the court for a game of two-on-two
Me and Mike versus James and his boy, Big Blue
We headed off to Kevin's house right after school
'Cause he got that new lifetime basketball hoop
We came ready, we came ready to play
We came ready to win and bring the trophy home that day
Big Blue said, ""You ain't bringin' home that W
How you gon' score when I'm standing here in front of you?""
I grabbed the ball and I passed it into Mike
Mike caught the pass, faked left, and went right
He drove through the lane and he threw it off the glass
I couldn't believe my eyes, he was running so fast
Caught the pass in midair, then he threw that boy down
Nobody could believe it, James fell over on the ground
He started crying, put his hands on his head
Then Big Blue looked at me and Mike and he said

""Why's James crying?""
'Cause he just got dunked on!
I ain’t even lying
Yo, he just got dunked on!
Yep, yep, he was standing in the way
So I jumped up in the air and I dunked it on his face
""Why's James crying?""
'Cause he just got dunked on!
I ain’t even lying
Yo, he just got dunked on!
Yep, yep, he was standing in the way
So I jumped up in the air and I dunked it on his face

James was mad, I could see it in his eyes
James never gets dunked on, and James don’t ever cry
He stood up, beat his fist on his chest
Looked at me and Mike and ran his thumb across his neck
He grabbed the ball, squared up to the hoop
Took a hard right step and then he slipped in dog poop
Me and Mike started laughing, and he deserved it too
For the rest of the day, we called him ""Captain Poopy-Shoe""
Then the ball bounced right over to me
Big Blue was so big, I could barely even see
I took the ball and I threw it in the air
Although I couldn’t see a thing, I had a feeling Mike was there
He grabbed the ball and did an alley-oop dunk
Right on top of James, he made him look like a punk
Then James' girlfriend walked by
She stopped right there and looked me square in the eye
She said

""Why's James crying?""
'Cause he just got dunked on!
I ain’t even lying
Yo, he just got dunked on!
Yep, yep, he was standing in the way
So I jumped up in the air and I dunked it on his face
""Why's James crying?""
'Cause he just got dunked on!
I ain’t even lying
Yo, he just got dunked on!
Yep, yep, he was standing in the way
So I jumped up in the air and I dunked it on his face

For the rest of the game, the lead went back and forth
It was all tied up when I checked the scoreboard
There was only ten seconds left on the clock
James went in for a layup, but his shot got blocked
(Whop) And then I juked out Big Blue
With the spin move, I was headed straight for the hoop
I looked at Mike, put my hand up in the air
James was standing in the way, but you know I didn’t care
Mike threw a perfect pass and I jumped so high
I was way up in the sky, dog, it felt like I could fly
I grabbed the ball and I threw it down hard
Right on top of James, I felt like a superstar
That’s how me and Mike won the basketball game
We beat Big Blue, and Big Bad James
'Cause me and Mike are the number one team
And we heard James cry, and we heard his mom scream
She said

""Why's James crying?""
'Cause he just got dunked on!
I ain’t even lying
Yo, he just got dunked on!
Yep, yep, he was standing in the way
So I jumped up in the air and I dunked it on his face
""Why's James crying?""
'Cause he just got dunked on!
I ain’t even lying
Yo, he just got dunked on!
Yep, yep, he was standing in the way
So I jumped up in the air and I dunked it on his face

(Uh!)
Yeah, you come up in here you’re gonna get dunked on
Payton and Kemp
Penny and Shaq
Pippen and Jordan
Boy, me and Mike are back"
2hhFpD32iXUd4GaCu6T4wn,Everyday Normal Guy 2,Jon Lajoie,comedy,3,Everyday Normal Guy 2,Jon Lajoie,en,"You want some more of this, bitch?
Back in the heezy... we could do this all year long

(I'm just a regular everyday normal motherfucker)
I told you in the first song, I'll tell you in another
(I'm just a regular everyday normal motherfucker)
I don't have a girlfriend, my hand's my only lover
(I'm just a regular everyday normal motherfucker)
One night a week my mom likes to cook me supper
(I'm just a regular everyday normal motherfucker)
And Michael Keaton was my favorite Batman

I was walking down the street just the other day
I saw these two fine bitches, they were walking my way
""Yo, what you girls doing tonight?"" is what I wanted to say
But suddenly I panicked, my voice started to shake
So I put my head down, and I just walked away
I had a bus to catch anyway, it worked out great
Got on the bus, put my headphones on, and pressed play
Sheryl Crow, James Blunt, and motherfucking Ace of Base
Yo, what can I say? It's just a day in my life
I'm up early in the morning, in bed early at night
To be productive at work, I gotta be well rested
Yeah, motherfucker, you heard what I just said

(I'm just a regular everyday normal motherfucker)
I don't like margarine, I much prefer the taste of butter
(I'm just a regular everyday normal motherfucker)
My favorite movies as a kid were ""Superman"" and ""Ghostbusters""
(I'm just a regular everyday normal motherfucker)
I have a hard time opening my eyes underwater
(I'm just a regular everyday normal motherfucker)
And I'm not a huge Nicolas Cage fan

I'm from a lower-middle class family
Me and my brothers and sisters played hide-and-seek
I have good memories from my childhood, bitch
My favorite toy was my fucking firetruck, bitch
I used to play with that motherfucker all day long
Until I learned about sex from the Sears catalog
And then I played with my motherfucker all day long
About ten times a day, man, all year long
My favorite song, motherfucker, I don't like to admit it
Is a Céline Dion Song from the movie Titanic
(Every night in my dreams, I see you, I feel you)
Every time I hear that fucking shit, a tear comes to my eye
Why the fuck did Leonardo DiCaprio have to die?
Though I'm not afraid to say that I'm a sensitive guy
Sticks and stones break my bones
But it's the words that make me cry
Like that time in grade three
When a girl called me ""Stupid Face""
She really hurt me
Why'd she call me ""Stupid Face""?
Is my face stupid? How's that even possible?
A person could be stupid, but a face, that's impossible
Shit happens all the time, and you learn how to deal with it
Regular everyday normal fucking bullshit

(I'm just a regular everyday normal motherfucker)
When I get into a fight, I usually leave on a stretcher
(I'm just a regular everyday normal motherfucker)
When I got nothing to say, I usually talk about the weather
(I'm just a regular everyday normal motherfucker)
I like the first 
Back to the Future
, but the second one was better
(I'm just a regular everyday normal motherfucker)
I like red peppers better than the green ones

Ooh-hoo, saving up my money to go buy a new dishwasher
Mine broke about six months ago... Motherfucker
Go, go, go, go, go shorty
It's your birthday
Go party like it's your birthday
I wasn't invited, but it's okay
I'll just stay at home, and play some video games"
7rniJWFP6BPyVrkcJvPvCv,You Might Be a Redneck,Jeff Foxworthy,comedy,3,You Might Be a Redneck If...,Jeff Foxworthy,en,"If you've ever been on television more than 5 times
Discribing what the tornadoe sounded like...
You might be a redneck
If you've ever cut your grass and found a car...
You might be a redneck
If your dad walks you to school because your in the same grade...
You might be a redneck
If you've ever been too drunk to fish...
If somebody asks to see your ID and you show them your belt buckle..
If every day somebody comes to your house mistakenly thinking your having a yard sale
If you've ever had to haul a can of paint to defend your sister's honor..
You might be a redneck
If your dog and your wallet are both on a chain...
You might be a redneck
They always make fun of the way I talk, I keep telling them I said your gonna be
Real surprised when you get into the habit in St. Petersburg and say
""Yo'all get into the truck, we goin up to the big house.""
If you've ever financed a tattoo....
If you've ever made change in the offering plate...
You might be a redneck
We have words in the south they don't have in other parts of the country..
Now, you come to the south, we have words like...you'ant to
We goin to the mall, you'ant to?
What letter does that start with, does anybody know?
I like this word alot...aight
That's a word in Texas...aight
Round lunch time every day, you'll hear somebody say
""hey didja eat yet, naw, didju? You'ant to. Aight.""
If you go to the family reunion to meet women....
If you smoked during your wedding....
You might be a redneck
And last but not least
If you see a sign that says say no to crack
And it reminds you to pull your jeans up...
You might be a redneck"
0IaR6HCEObaHxA52i0fdKU,Threw It On The Ground,The Lonely Island,comedy,3,Threw It On the Ground,The Lonely Island,en,"I was walking through the city streets
And a man walks up to me and hands me the latest energy drink
""Run faster, jump higher""
Man, I'm not gonna let you poison me

I threw it on the ground
You must think I'm a joke
I ain't gonna be part of your system, man
Pump that garbage in another man's veins

I go to my favorite hotdog stand
And the dude says, ""You come here all the time, here's one for free""
I said ""Man, what I look like? A charity case?""

I took it and threw it on the ground
I don't need your handouts
I'm an adult, please
You can't buy me, hot dog man

At the farmers' market with my so-called ""girlfriend""
She hands me her cell phone—says it's my dad
Man, this ain't my dad
This is a cell phone

I threw it on the ground
What you think, I'm stupid?
I'm not a part of your system
My dad's not a phone
Duh

Some poser hands me cake at a birthday party
What you want me to do with this? Eat it?

Happy birthday to the ground
I threw the rest of the cake too
Welcome to the real world, jackass

So many things to throw on the ground
Like this, and this, and that, and even this
I'm an adult

Two Hollywood phonies try to give me their autograph

Ground
Nobody wants your autograph
Phonies

Then the two phonies got up
Turned out they had a taser
And they tased me in the butthole
I fell to the ground, the phonies didn't let up
Tasin' on my butthole over and over
I was screaming and squirming
My butthole was on fire

The moral of the story is
You can't trust the system
Man"
1O9MJgplfAytNT8fERYwNg,I've Been Draggin' Since You've Gone,The Country Side Of Harmonica Sam,guitar,0,I’ve Been Draggin’ Since You’ve Gone,The Country Side Of Harmonica Sam,en,"As I sit here all alone in the moonlight
Wondering why I'm feeling low
Is it all said and done? Why don't you telephone?
I've been draggin' since you've gone
And even though I know it's foolish when I see
The writing on the wall
I'm waiting for your call while you're out there having fun
I've been draggin' since you've gone

Oh, baby, you're not the hurting kind
Because you've gotta, you've gotta change your mind
Oh, little baby, you've gotta call and say
Say you'll come back home
I've been draggin' since you've gone


Oh, baby, you're not the hurting kind
Because you've gotta, you've gotta change your mind
Oh, little baby, you've gotta call and say
Say you'll come back home
I've been draggin' since you've gone
I've been draggin' since you've gone"
3VgYGwa03GGyYwKjHtJqrQ,I Don't Need No Doctor,John Scofield,guitar,0,I Don’t Need No Doctor,John Scofield,en,"I don't need no doctor
'Cause I know what's ailing me
I don't need no doctor
'Cause I know what's ailing me
I've been too long away from my baby, yeah
I'm coming down with a misery
I don't need no doctor
For my prescription to be filled
(I don't need no doctor)
(I don't need no doctor)
No, no, no, I don't need no doctor
For my prescription to be filled, yeah
Only my baby's arms could ever
Could ever take away this chill
Now the doctor say I need rest
For I need is her tenderness
He put me on the critical list
When all I need is her sweet kiss
He gave me a medicated lotion
But it didn't soothe my emotion, yeah
I don't need no doctor
For my hope to live is gone
(I don't need no doctor)
(I don't need no doctor)
No, no, I don't need no doctor
For my hope to live is gone
All I need is my baby, please!
Won't you please just come on home?
Come on home"
