genre,sentiment_mean,sentiment_std,n_tracks,community_id
jazz,0.812,0.476,28,1
disco,0.612,0.638,26,3
house,0.58,0.773,38,3
kids,0.518,0.661,8,3
honky-tonk,0.475,0.733,37,1
singer-songwriter,0.423,0.837,35,1
disney,0.416,0.731,10,1
trip-hop,0.376,0.735,26,2
trance,0.358,0.796,16,2
comedy,0.311,0.927,8,0
synth-pop,0.291,0.862,31,3
bluegrass,0.291,0.801,29,1
guitar,0.28,0.992,2,1
acoustic,0.257,0.842,37,1
r-n-b,0.191,0.922,7,3
club,0.164,0.866,20,2
folk,0.155,0.811,17,1
afrobeat,0.145,1.169,2,3
electronic,0.097,0.908,21,2
punk,0.061,0.935,14,2
opera,0.051,0.869,8,1
punk-rock,0.035,0.975,7,2
alternative,-0.044,0.956,45,3
alt-rock,-0.067,0.941,17,2
party,-0.103,1.197,2,3
groove,-0.118,0.967,12,2
industrial,-0.13,0.863,42,2
emo,-0.242,0.848,30,3
sad,-0.295,0.892,38,1
hardcore,-0.375,0.826,26,2
hip-hop,-0.51,0.704,14,3
