genre,community_id,term,tfidf_weight
comedy,3,pussy,0.12150702384555509
comedy,3,nice,0.11721322469185123
comedy,3,james,0.09951608434269006
comedy,3,motherfucker,0.08171220328295971
comedy,3,lick,0.07942846452321592
comedy,3,threw,0.07818971219979036
comedy,3,phone,0.07788091727060406
comedy,3,ground,0.07249421593807047
comedy,3,everyday,0.07081056344849886
comedy,3,fucked,0.06796118071376327
comedy,3,ball,0.053702161629099465
comedy,3,well,0.053445844819213606
comedy,3,jack,0.0470178051931679
comedy,3,okay,0.04377182561999143
comedy,3,south,0.0426834842284866
guitar,0,since,0.3625720319233045
guitar,0,filled,0.2567345326494881
guitar,0,please,0.18943800596095306
guitar,0,hurting,0.18879922440009395
guitar,0,hope,0.18749128502302864
guitar,0,emotion,0.1550960365199218
guitar,0,chill,0.14404662739645996
guitar,0,list,0.14117542733588245
guitar,0,kind,0.14036334598287506
guitar,0,arm,0.11311706681510482
guitar,0,rest,0.11216078638178693
guitar,0,sweet,0.10863961216451588
guitar,0,kiss,0.10552179326261274
guitar,0,moonlight,0.09942528866346113
guitar,0,writing,0.09673234559327036
acoustic,0,love,0.061566809174210785
acoustic,0,heart,0.043324808189681
acoustic,0,else,0.03875855079735969
acoustic,0,breathing,0.03794404395593266
acoustic,0,young,0.03647701792714236
acoustic,0,matter,0.03580191910402047
acoustic,0,far,0.031086096243965102
acoustic,0,well,0.027825847087901923
acoustic,0,lonely,0.02747735574337054
acoustic,0,wish,0.027115798864866997
acoustic,0,work,0.02650532068829949
acoustic,0,met,0.02605955582855435
acoustic,0,everybody,0.02592522852822588
acoustic,0,rain,0.02583336184891808
acoustic,0,dance,0.025089266586072363
disney,0,poor,0.09747499791065273
disney,0,seventeen,0.08018189566428723
disney,0,fit,0.07930097511496512
disney,0,soul,0.07610273747830609
disney,0,dig,0.07225437264761247
disney,0,sweet,0.06753749298000254
disney,0,voice,0.06711044475357027
disney,0,yes,0.06109688262762186
disney,0,west,0.06107665128852483
disney,0,lion,0.059645704592054344
disney,0,jungle,0.059645704592054344
disney,0,mean,0.05928973210454315
disney,0,spoken,0.05339708563696254
disney,0,blue,0.05070613824146995
disney,0,worry,0.047104785380133275
honky-tonk,0,love,0.0724264042987128
honky-tonk,0,world,0.061201521414941965
honky-tonk,0,blue,0.04865416477447989
honky-tonk,0,heart,0.04065337988708874
honky-tonk,0,fool,0.037804582881169155
honky-tonk,0,sweet,0.03621472904187936
honky-tonk,0,memory,0.0354383547814966
honky-tonk,0,jesus,0.03504514124948283
honky-tonk,0,arm,0.034449199735990824
honky-tonk,0,least,0.03338388225574691
honky-tonk,0,well,0.03307725901676212
honky-tonk,0,life,0.03068986928578076
honky-tonk,0,poor,0.029607506411785344
honky-tonk,0,nobody,0.02947711209719426
honky-tonk,0,heartache,0.028369640610845064
bluegrass,0,blue,0.055841256586704704
bluegrass,0,crazy,0.04661304462654816
bluegrass,0,behind,0.043894456849499296
bluegrass,0,well,0.043312128219731134
bluegrass,0,love,0.042606102577236606
bluegrass,0,lord,0.042456703345466834
bluegrass,0,sweet,0.041918322916692466
bluegrass,0,life,0.03883793450988769
bluegrass,0,used,0.03883755268526691
bluegrass,0,goin,0.033558988872878406
bluegrass,0,heart,0.03282701022061878
bluegrass,0,without,0.03130520293286772
bluegrass,0,lot,0.029378964689749647
bluegrass,0,reason,0.028326553143053948
bluegrass,0,desire,0.027329317825479652
opera,0,ho,0.08530163134196178
opera,0,sing,0.08162237655029192
opera,0,peace,0.07756355853264063
opera,0,faith,0.0698055678410196
opera,0,land,0.06474902784353606
opera,0,season,0.06370312415439372
opera,0,el,0.061283038050126006
opera,0,mar,0.061283038050126006
opera,0,joy,0.05887289663988462
opera,0,sit,0.05851947181074836
opera,0,across,0.058251116595814084
opera,0,de,0.05475631638727901
opera,0,le,0.05409412523586213
opera,0,holy,0.05289913499197932
opera,0,sadness,0.051026388882952925
folk,0,le,0.0664206037452923
folk,0,realize,0.05738919883656599
folk,0,bang,0.056816679123367596
folk,0,heart,0.05574535782755813
folk,0,mountain,0.05499495977247221
folk,0,ride,0.05453429517370548
folk,0,sound,0.05136779713405185
folk,0,tere,0.04892262035546738
folk,0,ke,0.04573456548213489
folk,0,drum,0.04360607524455177
folk,0,step,0.041249000494541804
folk,0,maybe,0.04071451575453773
folk,0,build,0.04011257600057796
folk,0,forest,0.03782707821902885
folk,0,jet,0.03687489278977065
jazz,0,love,0.0884038088296184
jazz,0,christmas,0.07991349557962295
jazz,0,santa,0.05097126591431243
jazz,0,merry,0.050332814129771974
jazz,0,snow,0.0468528284263513
jazz,0,storm,0.0461042409972883
jazz,0,warm,0.041776151411022665
jazz,0,world,0.04159271136631482
jazz,0,cry,0.04003959860316243
jazz,0,care,0.03937679535488091
jazz,0,dream,0.038586289941544644
jazz,0,heart,0.03809310505123173
jazz,0,sing,0.037456249927723964
jazz,0,born,0.03569500901694473
jazz,0,rather,0.03385451346356485
singer-songwriter,0,love,0.10481644538186237
singer-songwriter,0,wish,0.06014309073485986
singer-songwriter,0,friend,0.055160472620285395
singer-songwriter,0,maybe,0.0427477548106169
singer-songwriter,0,heart,0.04090020697302862
singer-songwriter,0,meant,0.039340931032280896
singer-songwriter,0,loved,0.03715080334992883
singer-songwriter,0,else,0.033360778235653754
singer-songwriter,0,light,0.03112630309681822
singer-songwriter,0,breath,0.02808572627844573
singer-songwriter,0,minute,0.027895016662615672
singer-songwriter,0,bit,0.02775767104646988
singer-songwriter,0,miss,0.026728536431039757
singer-songwriter,0,train,0.025837173494825467
singer-songwriter,0,daughter,0.025272739016896396
sad,0,shit,0.06862394152590115
sad,0,fuck,0.0492693709414092
sad,0,love,0.04400716722584511
sad,0,die,0.03656196875979451
sad,0,hurt,0.03641934868916292
sad,0,pain,0.03577859587154919
sad,0,hell,0.035239215212189194
sad,0,far,0.03435619392104619
sad,0,wish,0.03206242440111972
sad,0,rather,0.030127170406432688
sad,0,bitch,0.02982865769228144
sad,0,even,0.028485305040310424
sad,0,dead,0.028223968292837055
sad,0,friend,0.02805984288612557
sad,0,sick,0.027132518770431036
punk,1,dance,0.09908437171164537
punk,1,christmas,0.08304854041805756
punk,1,cry,0.07103641238992095
punk,1,kid,0.059257045136832505
punk,1,floor,0.053204340241399646
punk,1,believe,0.04541789985958836
punk,1,scar,0.04204291063313023
punk,1,year,0.041114891389338944
punk,1,chance,0.03949370428600548
punk,1,show,0.03889648512770477
punk,1,sun,0.038670293904846054
punk,1,meant,0.03818020409023362
punk,1,another,0.03641698627899621
punk,1,class,0.0360873501942582
punk,1,god,0.035054479837011786
industrial,1,inside,0.05120047745835961
industrial,1,around,0.03908467671400041
industrial,1,life,0.03890193940509948
industrial,1,cut,0.03625897148551322
industrial,1,believe,0.035563330008385144
industrial,1,power,0.030695696156427574
industrial,1,lord,0.029617682844297763
industrial,1,nigga,0.028084114867017715
industrial,1,work,0.027558879982700683
industrial,1,ghost,0.026428432187655188
industrial,1,gun,0.025970239615368578
industrial,1,welcome,0.025764801909668324
industrial,1,mine,0.025013571645994367
industrial,1,brain,0.024887157129630688
industrial,1,break,0.02430015809938587
alt-rock,1,die,0.06366799323413957
alt-rock,1,deep,0.051389856534430206
alt-rock,1,inside,0.051125149150778405
alt-rock,1,clap,0.049311230931312774
alt-rock,1,talkin,0.04806015826640618
alt-rock,1,bone,0.04580862248685804
alt-rock,1,sorry,0.04516025858313966
alt-rock,1,love,0.04147640092820233
alt-rock,1,comin,0.040075580214836454
alt-rock,1,whisper,0.03970506337227448
alt-rock,1,open,0.03901931398861044
alt-rock,1,dark,0.03895068265172126
alt-rock,1,cold,0.03735084353893189
alt-rock,1,hole,0.0361762583695476
alt-rock,1,melody,0.03408357915648232
trip-hop,1,half,0.05062196317695282
trip-hop,1,behind,0.046213843618493906
trip-hop,1,beat,0.03839321912233938
trip-hop,1,church,0.03600256008417727
trip-hop,1,ka,0.035288988178753554
trip-hop,1,happy,0.03488038435279711
trip-hop,1,fly,0.03232387794322192
trip-hop,1,post,0.031977717502788904
trip-hop,1,heart,0.031317444982572856
trip-hop,1,sometimes,0.03049900028514524
trip-hop,1,may,0.03042047510798224
trip-hop,1,surrender,0.030000844432647698
trip-hop,1,fighting,0.028836749681373702
trip-hop,1,dream,0.02861845000554724
trip-hop,1,listening,0.027816900631112966
groove,1,love,0.08942956677529741
groove,1,tear,0.08596755485477466
groove,1,world,0.07789651893405086
groove,1,heaven,0.06759961621271468
groove,1,another,0.06569107554499845
groove,1,inside,0.0645637941722398
groove,1,disco,0.055075441420238944
groove,1,believe,0.05313688783460839
groove,1,empty,0.05156720624355701
groove,1,phone,0.048945930406903385
groove,1,wish,0.04862742431084453
groove,1,please,0.04419871388508311
groove,1,forever,0.038673539144839036
groove,1,anger,0.03821910107823523
groove,1,plain,0.03740696822692377
electronic,1,love,0.09493805371468758
electronic,1,bang,0.04752967658371585
electronic,1,nahi,0.040290181901325224
electronic,1,dust,0.03632888786687079
electronic,1,nigga,0.03406307990153202
electronic,1,almost,0.033461722692126786
electronic,1,shadow,0.032861953278766697
electronic,1,imma,0.031817674606269004
electronic,1,tomorrow,0.031752729514834634
electronic,1,im,0.031318297075718815
electronic,1,mother,0.030535278566216368
electronic,1,damn,0.029650737093094834
electronic,1,fucking,0.029328442009793853
electronic,1,ba,0.02921149341834961
electronic,1,straight,0.029196438772794448
hardcore,1,nigga,0.12736985234909798
hardcore,1,shit,0.057339191768605156
hardcore,1,motherfucker,0.04977019610850112
hardcore,1,fuck,0.042068374103486274
hardcore,1,fuckin,0.040139448516166604
hardcore,1,story,0.04012173356088298
hardcore,1,buck,0.03273125341635665
hardcore,1,crack,0.031466539579115285
hardcore,1,gettin,0.031244460331982037
hardcore,1,dig,0.03089327923065668
hardcore,1,meant,0.030025489880876565
hardcore,1,bitch,0.02998767189825376
hardcore,1,mother,0.029961383850894727
hardcore,1,homie,0.02982547337725651
hardcore,1,street,0.0294347417058633
punk-rock,1,heartbeat,0.10462284460067987
punk-rock,1,use,0.10314542566389673
punk-rock,1,enough,0.09251232834384637
punk-rock,1,kid,0.09249894904771057
punk-rock,1,luck,0.08771005975206643
punk-rock,1,everybody,0.08366585533670104
punk-rock,1,remember,0.06430916795182694
punk-rock,1,round,0.06336552049658445
punk-rock,1,town,0.06271749331938692
punk-rock,1,mouth,0.06195590867463224
punk-rock,1,hurt,0.06159334308190163
punk-rock,1,missing,0.05536543876878405
punk-rock,1,crazy,0.0510879659117444
punk-rock,1,hoping,0.04918860053871874
punk-rock,1,sing,0.048758390148120966
club,1,love,0.09883968004060648
club,1,sky,0.05994150572816199
club,1,matter,0.048267358565070036
club,1,tide,0.04589944934701029
club,1,rest,0.04536169864479294
club,1,born,0.04339949917053617
club,1,much,0.04236092875695635
club,1,please,0.040206018936761415
club,1,road,0.0371435732753985
club,1,beat,0.036068509535059134
club,1,life,0.036017450807727246
club,1,blood,0.03516095011733692
club,1,probably,0.03417255151982424
club,1,lovely,0.03087498131481118
club,1,silence,0.02994281959111151
trance,1,love,0.07079762929620484
trance,1,rhythm,0.06000453383329852
trance,1,color,0.05977968140901046
trance,1,step,0.05837772953196347
trance,1,de,0.056783574373468676
trance,1,learn,0.05321578748806918
trance,1,gas,0.050825809643093044
trance,1,alright,0.04969872873047955
trance,1,scream,0.046664916410062526
trance,1,mood,0.04015207455376784
trance,1,lift,0.04005579768972075
trance,1,break,0.039596042007963544
trance,1,much,0.03945883891352606
trance,1,burning,0.03906054578027173
trance,1,miss,0.03748269557311747
emo,1,break,0.0649081760240528
emo,1,love,0.06063167797702677
emo,1,heart,0.054825994995105404
emo,1,bitch,0.05157533056117779
emo,1,fuck,0.0493781946668328
emo,1,grave,0.046249596336505626
emo,1,enough,0.04407538751541545
emo,1,fuckin,0.04194564561284902
emo,1,shit,0.03569798789104875
emo,1,life,0.033116369485229474
emo,1,test,0.03191865049125192
emo,1,used,0.030579934245098972
emo,1,pain,0.030523212688752452
emo,1,mean,0.030211307515326656
emo,1,hurt,0.028910021456945264
r-n-b,2,nigga,0.22282540124818856
r-n-b,2,gang,0.15948056372871228
r-n-b,2,gon,0.1461650674352864
r-n-b,2,christmas,0.1348540226847032
r-n-b,2,huh,0.12898044989166713
r-n-b,2,bag,0.11107742047727019
r-n-b,2,work,0.07234395376794817
r-n-b,2,bitch,0.05893057777023867
r-n-b,2,shit,0.05569186613223854
r-n-b,2,nice,0.055310457479477826
r-n-b,2,game,0.049231820738870946
r-n-b,2,used,0.047577186311272286
r-n-b,2,ice,0.04560611139077558
r-n-b,2,tryna,0.0444341710519525
r-n-b,2,even,0.0436247825249521
kids,2,check,0.12568949016829065
kids,2,jungle,0.12341991064597843
kids,2,monster,0.1160269459916069
kids,2,shawty,0.10651606644402808
kids,2,bos,0.10650362020674466
kids,2,foot,0.0855168398687509
kids,2,hop,0.07272346965033519
kids,2,clap,0.0561042793512116
kids,2,quarter,0.054377068442212725
kids,2,queen,0.0519239202257912
kids,2,quit,0.05050311724633341
kids,2,im,0.05049330111398771
kids,2,write,0.04858584134486137
kids,2,letter,0.047754505130712555
kids,2,gang,0.04526800371988512
party,1,flip,0.333886608989131
party,1,everybody,0.2549083372254321
party,1,okay,0.20423849867649485
party,1,mine,0.16606150464575525
party,1,double,0.1633044619239721
party,1,die,0.1607915277485327
party,1,west,0.15441668138579626
party,1,south,0.15441668138579626
party,1,lady,0.11435136185968771
party,1,nasty,0.10886964128264806
party,1,fine,0.10108570800158358
party,1,air,0.09569612306326121
party,1,party,0.09490788311488957
party,1,pretty,0.09490788311488957
party,1,kind,0.0934073075348652
hip-hop,2,bitch,0.09670740804937515
hip-hop,2,fuck,0.0919736543960389
hip-hop,2,de,0.08582694787058515
hip-hop,2,ni,0.08070030610943224
hip-hop,2,tu,0.07793346405769061
hip-hop,2,fed,0.07684386296230429
hip-hop,2,en,0.07142857142857142
hip-hop,2,woo,0.0662739289361653
hip-hop,2,tere,0.06452131337547506
hip-hop,2,ke,0.06423468232868426
hip-hop,2,money,0.058907687054520735
hip-hop,2,mar,0.04738368474888868
hip-hop,2,di,0.04440206235049667
hip-hop,2,hoo,0.04256825656301052
hip-hop,2,bang,0.039714496355706
alternative,1,fuck,0.06813386895055437
alternative,1,bitch,0.04814695998291845
alternative,1,money,0.036892912291487785
alternative,1,crack,0.0364028505683493
alternative,1,life,0.034630545926329546
alternative,1,friend,0.033892715863175146
alternative,1,everybody,0.032851909614957264
alternative,1,work,0.03180967042228245
alternative,1,lord,0.03134686845591478
alternative,1,god,0.03012368160353332
alternative,1,faith,0.029978781347957117
alternative,1,love,0.026317742610266603
alternative,1,paid,0.025854504499374972
alternative,1,fire,0.025835253912711836
alternative,1,shit,0.02464852903829247
afrobeat,2,goin,0.32315921737855874
afrobeat,2,jesus,0.31918106230741383
afrobeat,2,slowly,0.3117260993178329
afrobeat,2,center,0.2543769709365604
afrobeat,2,lift,0.1271884854682802
afrobeat,2,slide,0.11868567111076098
afrobeat,2,praise,0.11764487288639207
afrobeat,2,happen,0.11401655977612174
afrobeat,2,power,0.10944662331250458
afrobeat,2,brother,0.10195854717457913
afrobeat,2,voice,0.09114144499420544
afrobeat,2,stronger,0.08688764883009555
afrobeat,2,closer,0.083344721296141
afrobeat,2,bigger,0.08129083763796395
afrobeat,2,higher,0.07717391471769496
house,2,love,0.1175152911534498
house,2,without,0.05325238506853301
house,2,show,0.04135599922769399
house,2,heart,0.03953088423849274
house,2,bye,0.03726482406664841
house,2,mine,0.0356344527392636
house,2,die,0.03388448196736483
house,2,even,0.03268085427092742
house,2,around,0.030462379014106755
house,2,drunk,0.029653459014662722
house,2,done,0.02903908968349741
house,2,dance,0.028670071593592753
house,2,tie,0.028367598516453825
house,2,ba,0.025959518813677144
house,2,boom,0.025806701134040506
disco,2,love,0.10526914223053847
disco,2,wall,0.08619930844488839
disco,2,dance,0.05034255348643176
disco,2,ho,0.042766836299703355
disco,2,around,0.04261410812629854
disco,2,dark,0.04220286633474742
disco,2,forever,0.04194499697111636
