track_id,track_name,artist,genre,community_id,genius_title,genius_artist,language,lyrics_preview
6U9TsxbuxwnijI6jVM6mGU,Take My Scars,SoLonely,emo,3,Take My Scars,SoLonely,en,"You take it back (Take it back)
You go ahead (You go ahead)
I know you want to see me dead (Yeah)

Take my heart, take my scars
Do your job, play your part
Follow me when you need
I'll be here in case..."
1BCBBO8VUEFOb6RBct4XDp,Broken Smile (My All),Lil Peep,emo,3,Broken Smile (My All),Lil Peep,en,"I gotta go right now, that's all
Nothing to it, don't expect no call
Y'all been plotting on me, praying I fall
I been working, I been giving my all
I gotta go right now, that's all
Nothing to it, don'..."
7floNISpH8VF4z4459Qo18,Look At Me!,XXXTENTACION,emo,3,Look At Me!,XXXTENTACION,en,"Ayy, I'm like, ""Bitch, who is your mans?"" Ayy
Can't keep my dick in my pants, ayy
My bitch don't love me no mo', ayy
She kick me out, I'm like, ""Vro""

Damn, son, where'd you find this?
Yeah, ayy
Yeah,..."
6r7ULK6c5CLVvImjTIztl1,Floor 555,XXXTENTACION,emo,3,Floor 555,XXXTENTACION,en,"I put one in that chamber, lay you in the face of God
Know to be-face the fake fuck, aight
Fuck is a feelin' God, level I'm, feelin' odd
Fairily Beverly Hill, Westside
Bitch, I'm drillin' your neighbo..."
46s77n3x4XZqUhZfIOCax9,enough,916frosty,emo,3,​enough,916frosty,en,"Yeah, yeah, oh-woah
Woah-oh, yeah, mmm-oh
Mmm-oh, mmm-oh
Woah, woah, ooh, woah, woah, yeah
I don't know where to call my home
There's a house where I sleep when I'm all alone
I feel like I've been und..."
5oRF3J9rBRWCNMTi0odITe,Voidwalker,iamjakehill,emo,3,Voidwalker,​iamjakehill,en,"Playa shit, Frayser shit
That's what pimpin's all about
Playa shit, Frayser shit
That's what pimpin's all about
Playa shit, Frayser shit
That's what pimpin's all about
Playa shit, Frayser shit
That's ..."
5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,XXXTENTACION,emo,3,Revenge,XXXTENTACION,en,"I think I, I think I finally
Found a way to forgive myself
For the mistakes I made in my past
I think that's the first step, right?
You agree?

I've dug two graves for us, my dear
Can't pretend that I..."
0Ti2dlF2xLjXblvdU5fCxM,Miss Murder,AFI,emo,3,Miss Murder,AFI,en,"Hey (Hey!) Miss Murder, can I, hey (Hey!) Miss Murder, can I
Make (Hey!) beauty stay if I take my life? Ho-oh-oh

With just a look, they shook, and heavens bowed before him
Simply a look can break you..."
0R6dvBlNevqkzioHLoygbI,IT'S ALL FADING TO BLACK,XXXTENTACION,emo,3,IT’S ALL FADING TO BLACK,XXXTENTACION,en,"Oh, oh
I won't let it control me
I won't let it control me

The memories from the past
It's all fading to black
She started turnin' around
And I won't let her control me
No, I won't let her control me..."
0DWrG09StYVhLbeNLwAJ5w,School Shooters,XXXTENTACION,emo,3,School Shooters,XXXTENTACION,en,"Action-packed school shooters, slit throat, loose screws
Get fucked up, hang his ass from flagpoles with sad souls
The innocent, who the fuck's protectin' us?
Boy, you better buckle up 'cause I got qu..."
0nO25NiPrKX64oy7lz5ZaJ,I Exist I Exist I Exist,Flatsound,emo,3,I Exist I Exist I Exist,Flatsound,en,"Baby, please, it's the way you speak
Forming words so easily
And I think of the way you think
It keeps me from falling asleep
In that grave I call a bed
Until you called me up and said

""I haven't sto..."
0qy1xNhQvnRhEpvKxdXYUR,Nightmares (feat. Lil Skies),Yung Pinch,emo,3,Nightmares,Yung Pinch,en,"Beach boy in this ho
Beach boy in this ho
Watch as I step on the scene
This how we livin', no actin' (This how we livin', no actin')
I got her wet in her dreams (I got her wet in her dreams)
Yeah, I t..."
6qnqHO6zpVCrPQiHDiKUc6,TUTU,6ix9ine,emo,3,TUTU,6ix9ine,en,"I get money when I want to
I get bitches when I want to
Tote this pistol when I want to
Money dance step, hit the one-two

You can't bop like this (Uh, uh)
Everybody want my swag, everybody want my dr..."
1Wh5LO3TWAvaeDrwp4FZgo,King,XXXTENTACION,emo,3,King,XXXTENTACION,en,"Leave me alone, I wanna go home, it's
All in my head, I won't be upset if
Leave me alone, I wanna go home
It's all in my head, I won't be upset if
Heartbroken, misspoken, breaking anything I touch
I'm..."
1M6SuEJZJkZf2S419vIPkB,FEFE,6ix9ine,emo,3,FEFE,6ix9ine,en,"It's fuckin' TR3YWAY
King of New York, lookin' for the Queen
Uh, 
you got the right one, hmm
L-let these, let these b-b-bitches know, nigga
Queens, Brooklyn, brrr
, ah
Murda on the beat so it's not ni..."
6s2yqZbiPNPL1B2IeCMsUA,The End.,My Chemical Romance,emo,3,The End.,My Chemical Romance,en,"Now, come one, come all to this tragic affair
Wipe off that makeup, what's in is despair
So throw on the black dress, mix in with the lot
You might wake up and notice you're someone you're not
If you ..."
05plS1JmxIeJd7izkQ0rkC,I’m Sick of Trying,Vaboh,emo,3,Im sick of trying,Vaboh,en,"Lines of cocaine lately love rollercoaster
You love me hate me we fight in the roadster
Rage in your veins jealousy is the devil
You sip on your cup till your head isn't level

You feel like you've be..."
16Fp67kTFhH0XK5Cl6Oz7r,Demolition Lovers,My Chemical Romance,emo,3,Demolition Lovers,My Chemical Romance,en,"Hand in mine, into your icy blues
And then I'd say to you, ""We could take to the highway
With this trunk of ammunition, too""
I'd end my days with you, in a hail of bullets

I'm trying, I'm trying
To l..."
