track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,community_id
25yup6WYnPoITrfzhkBLmt,Powfu;Sarcastic Sounds,"Some Boring, Love Stories",I Can't Sleep,61,152500,True,0.805,0.479,6,-9.238,0,0.363,0.182,3.41e-06,0.346,0.363,80.454,4,sad,0
2Nup8oYRzBaqtPSU9qnkls,Connor Price;John Roa,Don't Tell Me,Don't Tell Me,51,177620,False,0.598,0.464,10,-11.27,0,0.0713,0.16,0.0,0.0978,0.264,113.815,4,sad,0
4WvApvScQ8ofzDIqgpScmb,Eric Reprid,June Blues,June Blues,48,187964,True,0.941,0.551,1,-5.659,0,0.0534,0.331,2.97e-05,0.106,0.702,98.014,4,sad,0
6TVqffNTpDAlfCtDIKyFbZ,Connor Price;4Korners,Marathon,Marathon,62,136062,False,0.855,0.405,0,-10.189,0,0.199,0.0415,8.39e-06,0.209,0.522,87.007,4,sad,0
4E4DQVf8GNBvvOaLfvIcvZ,Dybbukk;Sabrina Gomes;Dybbukk Covers,It's Not So Bad,It's Not So Bad,69,140617,False,0.758,0.488,1,-9.124,1,0.109,0.00468,0.294,0.418,0.399,137.506,4,sad,0
3JhO0BxHyvU5oUVm0JDGnJ,Rxseboy;Julia Alexa;Zaini,i don't wanna be me anymore (feat. Julia Alexa & Zaini),i don't wanna be me anymore (feat. Julia Alexa & Zaini),50,163658,False,0.718,0.4,1,-10.982,1,0.265,0.796,0.0,0.177,0.398,71.534,4,sad,0
5OdIMoELVs6AE5KifEOWWw,Thr13tn,I'm Not Okay,I'm Not Okay,40,188000,True,0.582,0.298,8,-11.6,0,0.0439,0.731,0.000116,0.0914,0.114,120.147,4,sad,0
4LMlIX9Y8qziRafzW30mGc,Skinny Atlas;Snøw;cøzybøy,you never meant it,you never meant it,67,117692,True,0.792,0.551,7,-5.769,1,0.037,0.307,0.0,0.101,0.45,103.967,4,sad,0
7fTQ6WNMNr7WaEYyeFp0GG,poofi.,My My My Girl,My My My Girl,44,130908,False,0.673,0.354,11,-15.846,0,0.0553,0.686,0.787,0.0787,0.282,102.623,4,sad,0
6hbK9zJUAlB5PYL15SzKtB,Powfu;Rxseboy,Letters in December,Letters in December,51,150000,False,0.634,0.32,1,-9.514,1,0.093,0.911,0.000159,0.0859,0.41,79.931,4,sad,0
